Cust_ID,Segment,Tier,Current_Balance,Recommendation,Bonus_Points,Discount_Offer,Action
CUST_001,Unknown,Bronze,505.61,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_002,Unknown,Silver,1426.3,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_003,Unknown,Platinum,5600.14,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_004,Unknown,Silver,1306.22,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_005,Unknown,Bronze,771.9,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_006,Unknown,Silver,1951.82,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_007,Unknown,Bronze,968.9,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_008,Unknown,Bronze,874.84,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_009,Unknown,Silver,1744.29,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_011,Unknown,Silver,1145.28,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_012,Unknown,Bronze,538.72,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_013,Unknown,Silver,1259.31,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_014,Unknown,Silver,1226.51,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_015,Unknown,Bronze,163.95,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_019,Unknown,Bronze,730.32,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_020,Unknown,Silver,2086.31,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_021,Unknown,Silver,2880.01,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_022,Unknown,Bronze,889.86,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_024,Unknown,Bronze,162.18,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_025,Unknown,Silver,2442.79,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_027,Unknown,Bronze,122.38,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_031,Unknown,Silver,1330.65,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_032,Unknown,Silver,1870.86,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_034,Unknown,Bronze,774.64,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_035,Unknown,Bronze,569.68,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_036,Unknown,Bronze,217.78,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_037,Unknown,Gold,3413.49,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_038,Unknown,Bronze,967.06,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_039,Unknown,Bronze,578.71,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_041,Unknown,Bronze,234.72,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_042,Unknown,Gold,3151.98,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_044,Unknown,Gold,4041.08,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_047,Unknown,Bronze,775.13,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_048,Unknown,Bronze,808.13,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_049,Unknown,Silver,2286.4,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_051,Unknown,Bronze,579.1,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_052,Unknown,Silver,1198.81,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_054,Unknown,Bronze,629.33,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_056,Unknown,Bronze,944.39,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_057,Unknown,Silver,1632.74,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_058,Unknown,Bronze,579.23,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_060,Unknown,Gold,3744.62,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_066,Unknown,Bronze,589.12,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_067,Unknown,Silver,1734.02,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_070,Unknown,Silver,1197.55,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_074,Unknown,Silver,1244.94,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_077,Unknown,Bronze,423.21,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_079,Unknown,Silver,2447.26,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_080,Unknown,Bronze,322.92,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_081,Unknown,Gold,3934.43,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_083,Unknown,Gold,4450.64,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_084,Unknown,Bronze,715.01,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_085,Unknown,Bronze,49.81,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_086,Unknown,Silver,1626.58,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_088,Unknown,Gold,3756.45,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_089,Unknown,Silver,2192.22,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_091,Unknown,Gold,3141.86,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_092,Unknown,Silver,2959.17,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_093,Unknown,Bronze,811.38,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_095,Unknown,Silver,2438.01,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_097,Unknown,Silver,1234.65,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_098,Unknown,Gold,3419.34,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_100,Unknown,Silver,1159.38,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_105,Unknown,Bronze,977.97,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_106,Unknown,Bronze,448.56,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_107,Unknown,Silver,2476.26,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_108,Unknown,Silver,1549.24,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_109,Unknown,Silver,1305.67,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_110,Unknown,Silver,2669.1,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_112,Unknown,Bronze,335.98,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_114,Unknown,Gold,4178.24,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_115,Unknown,Silver,1077.3,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_116,Unknown,Gold,3366.31,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_117,Unknown,Silver,1652.19,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_118,Unknown,Bronze,742.06,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_119,Unknown,Bronze,544.06,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_121,Unknown,Bronze,217.66,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_124,Unknown,Bronze,166.51,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_126,Unknown,Bronze,705.97,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_127,Unknown,Bronze,391.42,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_128,Unknown,Bronze,334.34,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_129,Unknown,Bronze,340.07,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_130,Unknown,Silver,1283.84,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_131,Unknown,Bronze,607.7,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_132,Unknown,Silver,2680.31,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_133,Unknown,Gold,3615.75,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_136,Unknown,Silver,2443.8,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_137,Unknown,Gold,3714.25,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_138,Unknown,Silver,1292.5,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_139,Unknown,Bronze,412.29,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_140,Unknown,Bronze,376.43,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_141,Unknown,Silver,1238.44,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_142,Unknown,Bronze,959.42,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_145,Unknown,Silver,1726.09,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_146,Unknown,Bronze,771.98,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_150,Unknown,Bronze,767.76,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_151,Unknown,Bronze,49.84,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_152,Unknown,Silver,2961.18,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_154,Unknown,Silver,1213.49,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_156,Unknown,Bronze,305.9,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_158,Unknown,Bronze,463.87,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_160,Unknown,Silver,1353.62,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_161,Unknown,Bronze,310.48,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_163,Unknown,Silver,2736.0,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_166,Unknown,Silver,1312.01,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_167,Unknown,Gold,4033.58,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_168,Unknown,Gold,3614.87,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_169,Unknown,Silver,1133.8,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_170,Unknown,Silver,2059.31,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_172,Unknown,Gold,3904.74,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_173,Unknown,Silver,1559.43,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_175,Unknown,Silver,1050.31,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_176,Unknown,Bronze,390.3,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_177,Unknown,Silver,1643.3,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_178,Unknown,Silver,1963.21,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_180,Unknown,Bronze,620.1,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_182,Unknown,Bronze,295.1,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_183,Unknown,Silver,2214.91,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_184,Unknown,Silver,1812.56,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_185,Unknown,Silver,1646.3,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_189,Unknown,Silver,1681.7,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_190,Unknown,Silver,1602.75,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_192,Unknown,Silver,2169.8,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_194,Unknown,Bronze,885.57,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_195,Unknown,Bronze,679.47,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_197,Unknown,Bronze,527.93,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_198,Unknown,Silver,1468.19,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
